DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,CT,19,65136.631579,14071.421053,11057.368421
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,UT,19,39491.789474,10697.157895,9293.8421053
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,IA,21,48704.666667,9942.047619,8239.047619
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,OR,21,52864.761905,14488.285714,9938.952381
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,LA,29,70545.827586,14118.068966,11769.793103
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,WI,29,52052.068966,11523,9910.0344828
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,DE,32,53483.53125,13573.46875,9400.46875
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,IN,32,54481.53125,10379,8302.09375
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,MA,34,51728.382353,13507.294118,11396.852941
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,SC,34,64022.058824,10627.852941,9034.9705882
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,KS,35,62400.228571,11642.457143,8149.3428571
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,AZ,39,63924.051282,12787.74359,9853.1794872
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,CO,45,78055.533333,11233.155556,9254.9333333
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,WA,45,57280.044444,12267.4,10217.466667
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,OH,46,66410.76087,12014.26087,8962.0217391
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,VA,48,60650.520833,10509.833333,8962.7083333
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,MN,50,39850.3,11546.28,10154.76
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,GA,51,53417.470588,10699.137255,7891.0392157
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,MO,56,55946.392857,10693.625,7607.8392857
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,PA,58,71840.396552,10899.206897,8747.0517241
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,MI,63,50060.31746,11689.253968,9894.2698413
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,MD,68,23503.75,21832.838235,19196.911765
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,TN,69,56202.478261,9885.4347826,7960.7536232
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,NJ,70,88791.942857,12841.828571,9936.8857143
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,NC,73,54678.273973,11020.164384,8577.0958904
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,IL,78,69402.346154,11703.564103,8990
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,NY,110,69317.990909,14987.781818,11092.209091
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,TX,137,81423.708029,11279.20438,8723.8686131
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,CA,168,99926.72619,14884.309524,11863.970238
063 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W/O CC/MCC,FL,172,85594.69186,10635.912791,8649.9011628
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WY,60,30648.016667,15041.633333,13974.366667
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,VT,135,34225.962963,15740.940741,13847.066667
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AK,143,90033.167832,20097.440559,18608.552448
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,RI,242,67740.710744,19552.557851,17194.545455
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MT,243,32401.176955,11705.041152,10407.91358
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,ND,290,33661.531034,11822.117241,10432.886207
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,ID,292,46575.465753,13745.253425,10334.705479
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,SD,303,44616.10231,12432.151815,10997.627063
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,HI,310,51955.993548,18748.054839,14203.787097
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NM,333,44993.471471,14471.747748,12636.714715
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,ME,341,31060.337243,12748.1261,10627.416422
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,DC,360,81040.244444,18975.902778,14677.013889
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NH,373,45297.359249,13295.852547,11912.506702
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,DE,402,44203.271144,14409.634328,12053.577114
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,UT,402,38085.798507,13021.532338,10599.211443
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NE,478,41431.958159,12092.535565,10278.309623
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WV,587,43051.228279,13708.776831,10641.061329
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,OR,719,42148.13491,14872.364395,12744.709318
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,CO,757,77428.424042,12938.817701,10841.624835
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NV,760,98913.280263,13471.215789,11303.494737
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,KS,772,62673.034974,11384.226684,10028.510363
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,IA,791,40653.997472,12130.420986,10499.903919
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AR,1011,36803.600396,10445.885262,8934.0504451
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,CT,1013,55381.276407,15948.481737,13745.628825
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WI,1102,43792.584392,13287.713249,11030.549002
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MS,1177,53080.299915,11321.751912,9790.0858114
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,OK,1276,53977.002351,11563.293103,9982.3847962
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MN,1293,41397.887084,14303.440062,12327.726991
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AZ,1374,63330.644105,13628.246725,11870.018195
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,LA,1441,52050.258848,12535.228314,9992.4295628
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,KY,1458,50713.001372,12539.178326,10623.224966
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,AL,1537,56863.61028,10816.543917,9061.834743
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,SC,1608,58192.129353,12471.227612,10351.554104
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,WA,1836,52968.720588,13948.745098,11920.650327
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,IN,1869,44750.716426,11663.469235,10226.339219
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MA,1884,38749.650743,16306.425159,14321.56051
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MD,1893,19195.580032,17733.837824,16447.476492
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MO,1957,49350.31068,11661.230455,10248.130812
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,GA,2352,55936.044643,12503.591837,10648.81165
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NJ,2505,98846.126946,14611.311776,12710.726946
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,TN,2526,48411.874505,11261.853127,9538.7319873
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,VA,2753,46861.634217,12669.478387,10264.247367
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,MI,2866,39596.129449,13237.874738,11302.448011
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NC,3025,39822.923636,12428.394711,10068.621818
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,OH,3029,51888.947177,13055.853087,10713.876197
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,PA,3373,73677.075304,13995.917877,11048.521791
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,IL,3396,58161.824794,13335.414311,11066.244994
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,NY,4072,76578.835216,18169.125246,15675.132367
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,FL,5400,72914.785741,11555.341852,10002.925
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,TX,5931,75221.315124,12354.280897,10338.059012
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,CA,6934,111014.74733,17918.826651,15617.100231
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,WY,123,23527.926829,9339.3902439,7935.2520325
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,AK,212,57718.646226,13454.981132,11634.165094
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,VT,232,25427.987069,9375.5301724,7805.2715517
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,HI,329,29710.772036,11330.173252,7905.8054711
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,RI,329,26970.306991,8953.9452888,7220.3860182
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,ND,339,25545.840708,7327.4336283,5849
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,MT,368,20616.671196,7098.2554348,5646.6902174
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,DC,414,47079.603865,10242.811594,7199.4855072
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,ID,439,28124.626424,7236.8747153,5796.0637813
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,SD,452,27384.632743,7645.0176991,6185.3606195
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,NM,466,28302.025751,8225.7961373,6655.2982833
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,UT,511,26442.776908,7681.3776908,5784.1996086
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,ME,561,20446.43672,7473.6773619,6009.57041
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,DE,596,24026.337248,8006.204698,6154.9312081
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,NH,608,28866.919408,7788.8190789,6217.0822368
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,NV,661,56475.007564,7960.4205749,6389.1316188
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,NE,727,28253.982118,7170.1444292,5642.1196699
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,WV,953,24180.24659,7599.4207765,5435.4575026
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,OR,1005,27525.023881,8835.6467662,7016.3472637
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,KS,1094,35444.134369,6728.3665448,5394.6343693
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,CO,1167,48006.415596,7440.9708655,5854.9905741
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,IA,1241,26565.651088,7145.4891217,5641.0169218
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,CT,1424,33003.900983,9300.7268258,7397.7317416
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,AR,1459,23521.328307,6332.7793009,5048.3810829
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,AZ,1795,41316.208357,7938.0490251,6449.670195
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,WI,1799,28929.499166,7590.8721512,5724.6092273
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,OK,1841,30798.024443,7012.9516567,5385.1830527
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,LA,1934,33173.466391,7215.8324716,5432.9451913
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,MS,1948,31584.344969,6517.24846,5087.4471253
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,MN,1954,24892.009724,8094,6507.6100307
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,KY,2090,32417.203828,7185.6325359,5624.7373206
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,AL,2363,35370.646636,6218.3203555,4849.5806179
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,SC,2369,34723.601942,7200.8446602,5415.2473618
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,WA,2383,34601.505245,8196.5346202,6396.1741502
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,MA,2672,21680.893338,8859.1021707,7252.5999251
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,MO,2694,31323.692279,6795.3559762,5399.0838901
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,TN,2937,31655.773919,6825.2407218,5194.1201907
069 - TRANSIENT ISCHEMIA,WI,446,23926.766816,5406.0627803,3911.82287
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,IN,3033,29278.655127,6983.474118,5483.6498516
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,GA,3211,32477.412333,7059.6237932,5568.9352227
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,MD,3221,11204.996274,10379.122322,9084.1626824
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,NJ,3514,64168.135458,8657.0922026,6857.5216278
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,VA,3820,29479.338743,7235.6180628,5305.297644
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,MI,3956,24597.048787,7842.3104146,6253.0748231
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,OH,4180,30275.76244,7416.0236842,5595.4043062
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,NC,4564,26427.5539,7367.6700263,5515.7423313
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,IL,4801,37179.957301,7986.6486149,5936.3940846
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,NY,5247,44603.87612,10479.887555,8385.8351439
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,PA,5345,43268.303461,8049.3973807,5851.657811
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,FL,7158,49047.443839,6902.2021514,5411.3487008
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,CA,7900,65724.127595,9903.5637975,8242.1975949
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,TX,7940,45401.017506,7253.0209068,5561.0564232
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,WY,52,18246.634615,7005.9230769,5248.9230769
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,AK,59,33656.661017,8720.5932203,7073.440678
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,VT,88,21653.113636,6851.6363636,5421.1704545
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MT,89,16865.078652,5289.9101124,3631.4831461
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,ND,100,21017.27,5396.53,3752.42
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,HI,126,26628.079365,9156.9761905,5582.4603175
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,SD,126,22354.809524,5656.8333333,4198.1428571
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,RI,128,21353.539063,6537.4375,4684.9140625
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,DC,133,35495.18797,7430.0225564,5061.6842105
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,NM,154,23536.688312,6339.7207792,4592.0909091
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,ID,157,21374.700637,5408.2356688,3876.7133758
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,UT,163,23108.368098,5725.9141104,3840.9631902
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,ME,191,17806.256545,6315.0837696,4138.5340314
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,NH,201,25071.134328,5495.2537313,4122.5074627
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,NV,211,46558.251185,6218.6066351,4514.8056872
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,NE,241,22143.344398,5237.5311203,3722.9211618
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,DE,262,18996.996183,6024.0496183,4094.7137405
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,KS,300,29300.46,4997.4133333,3539.55
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,OR,307,21283.758958,6426.5830619,4802.1074919
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,WV,365,18918.89863,5642.2630137,3862.2109589
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,CO,407,37995.2457,5671.7985258,3928.3955774
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,IA,434,21338.292627,5392.0599078,3841.0046083
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,CT,471,26358.093418,7060.6518047,4913.2484076
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,OK,482,25093.593361,5381.5207469,3663.2282158
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,AR,484,20224.847107,4706.2520661,3395.6735537
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,WI,527,24021.933586,5780.4117647,3959.1840607
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MS,532,25456.554511,4759.0150376,3368.4135338
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,LA,558,24583.327957,5466.5483871,3756.4964158
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MN,651,19624.356375,5871.3179724,4236.3563748
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,KY,654,25642.441896,5379.1819572,3767.5168196
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,AZ,711,34878.042194,6104.3811533,4461.8804501
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,AL,731,28839.426813,4723.4035568,3234.4445964
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,SC,739,28717.866035,5432.7401894,3693.3423545
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,WA,744,27501.762097,6188.469086,4361.6518817
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MO,859,24958.671711,5011.1466822,3531.4481956
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,IN,938,23457.38806,5180.9840085,3726.9829424
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,TN,938,24815.904051,5078.4189765,3484.9626866
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MA,968,16335.089876,6366.927686,4837.5289256
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,GA,998,26320.3998,5280.3436874,3703.1793587
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,NJ,1120,49914.997321,6310.61875,4591.1348214
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MI,1187,19184.847515,5927.9983151,4198.0539174
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,MD,1233,8251.1816707,7678.3463098,6209.6796431
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,VA,1300,23098.012308,5300.4046154,3520.4361538
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,NC,1347,21967.374165,5498.0987379,3746.0876021
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,IL,1502,30422.213049,5911.4906791,4009.5299601
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,OH,1550,23930.144516,5463.5180645,3738.0587097
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,PA,1787,33693.148293,5743.3933968,3844.8114158
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,NY,1864,33416.792918,7845.8755365,5751.0316524
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,FL,2411,39431.057652,5253.6939029,3744.0895894
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,TX,2443,36290.260336,5524.1584118,3828.0675399
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,CA,2619,52499.840779,7716.3348606,5804.7884689
067 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,AR,11,42083.090909,7499.7272727,6515.1818182
067 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,CT,11,54930.636364,13602.181818,12290
067 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,KS,11,55980.090909,9152.4545455,8083.3636364
067 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,MS,11,32041.909091,7495.1818182,6505.6363636
067 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,NV,11,57948.454545,9675.4545455,8602.3636364
067 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,OR,11,46262.545455,11353.909091,10464.454545
067 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,AZ,12,54687.083333,10563.833333,9252
067 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,MA,13,31789.076923,12197.384615,10878.769231
067 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,WA,14,50561.285714,11434.285714,10269.785714
067 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,IN,15,46066.266667,9639.8666667,8356.6
067 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,OK,17,40103.529412,10297.529412,7133.1176471
067 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,AL,18,53795.888889,10207.277778,6355.1666667
